3	1218.40000000000009094947
5	613.20000000000004547474
7	489.00000000000000000000
9	603.20000000000004547474
11	1086.00000000000000000000
13	1056.20000000000004547474
15	923.79999999999995452526
17	1390.59999999999990905053
19	1412.59999999999990905053
21	1466.79999999999995452526
23	1605.00000000000000000000
25	1697.40000000000009094947
27	2141.80000000000018189894
29	2274.19999999999981810106
31	2164.00000000000000000000
33	2622.80000000000018189894
35	2662.80000000000018189894
37	3460.40000000000009094947
39	3208.00000000000000000000
41	2997.40000000000009094947
43	3983.59999999999990905053
45	4201.80000000000018189894
47	3041.59999999999990905053
49	4151.80000000000018189894
