3	384.60000000000002273737
5	545.20000000000004547474
7	801.60000000000002273737
9	1102.20000000000004547474
11	1392.59999999999990905053
13	1635.20000000000004547474
15	2779.19999999999981810106
17	3095.80000000000018189894
19	3873.19999999999981810106
21	5065.00000000000000000000
23	6155.60000000000036379788
25	6510.39999999999963620212
27	7624.39999999999963620212
29	9027.20000000000072759576
31	12781.79999999999927240424
33	11698.20000000000072759576
35	15132.39999999999963620212
37	16176.20000000000072759576
39	16178.20000000000072759576
41	18560.59999999999854480848
43	20360.40000000000145519152
45	21831.00000000000000000000
47	25055.00000000000000000000
49	25297.40000000000145519152
